Sön	26
Döh	21
Tüc	19
jön	7
göz	6
süc	86
eßa	10
jöb	2
Füs	86
wön	2
ißk	32
Nüt	16
läl	1
 öv	1
Gäh	2
zöl	19
wüh	29
däq	24
zär	40
Wüt	13
Büd	65
Läs	17
zäl	1
mäi	28
 Üe	18
häb	9
säd	4
Püt	31
lüd	5
aßp	1
Säs	2
.Ö.	3
MÜ,	1
näk	55
füm	19
Göd	15
Wöc	13
Göc	1
döb	25
kän	88
lä 	42
Häk	25
väl	1
iö,	2
näj	5
uäh	1
eßf	21
däs	17
Tör	23
mür	23
Mür	94
sär	76
süh	10
Där	5
fäm	2
Jüb	7
iöl	4
näu	20
uäl	42
Ißl	3
Löt	15
Güm	8
Göp	33
Söf	13
Tüt	15
Mäa	18
Jär	20
ißz	8
pös	7
Höv	17
Möß	4
nüc	39
böt	7
tül	43
Mös	26
Täf	14
Läg	3
döR	2
DÄB	1
pöt	24
läe	18
Hön	62
 öl	6
ußa	39
Käo	8
süf	4
Böb	24
Hüb	92
böc	39
Pöh	25
Jäc	23
Höx	8
läß	27
Rüm	23
häp	6
säf	7
PÄI	1
Möc	43
ißh	36
Täg	13
uöl	1
bül	37
uäu	3
tüf	3
käp	22
lüe	13
jüt	11
 ä.	10
mö 	18
iüb	11
nße	1
Düm	9
Hüd	2
röö	1
Pön	11
eßm	22
Jön	4
Sür	7
aßu	11
IÖ 	1
Häc	15
Oßw	6
mäg	6
kös	19
düb	19
bäs	4
Jüh	3
Röv	6
Häs	19
sül	6
nöp	76
Küb	14
Söz	1
Züt	6
Rüf	18
Väx	8
jö 	13
röa	1
Gäv	7
nüm	1
GÜ 	1
nü 	15
eäl	11
ußp	29
Föt	7
Düh	18
Yüc	32
Läm	45
nü,	2
eär	5
eäc	12
Röb	28
